Reg. #/ File Sym,Physcial Form.,Product Name (PBN),Use,Use Site,"App.
Target","App.
Type","App.
Equipment","App.
Timing (Site Status)","App.
Timing (other)","A.I.
Max Single Rate
/ App. (lb a.i./A)","Max # Apps
/ C.C.","A. I.
Max Total Rate
/ C.C. (lb a.i./A","Max # Apps
/ Yr.","A. I.
Max Total Rate
/ Yr. (lb a.i./A)","MRI
(days)",PHI (days),Additional Information,Max No. of CC/yr,Geographic Restrictions,Drift Restrictions,Soil Restrictions,On-field Non-target Species Restrictions,Additional Restrictions for Use/Use Site
264-REGG,WG,PLENEXOS SMART (SPD+FPF: flupyradifurone rates),Citrus Fruit (CG 10-10),Agricultural (Outdoor),Foliage/Plant,Broadcast,"Airblast sprayer or similar ground equipment, fixed or rotary winged aircraft",Post-emergence,When pests occur,0.18,2,0.36,2,0.365,10,1,"Maximum flupyradifurone per calendar year is 0.365 lb ai/A, regardless of formulation or method of application.",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Wind speed limit (mph): 15 mph.              Buffers for orchard crops/ citrus (ft): Aerial 85-115; Airblast/ Ground 50-60
Max Release Height (ft):10
ASABE Droplet Size: Coarse or Coarser",N/A,DO NOT apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.,DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; DO NOT apply non-ionic surfactants in tank mix combination with PLENEXOS SMART on white grapefruit when fruit is present; No aerial application in New York State
264-REGG,WG,PLENEXOS SMART (SPD+FPF: flupyradifurone rates),Pome Fruit (CG 11-10),Agricultural (Outdoor),Foliage/Plant,Broadcast,"Airblast sprayer or similar ground equipment, fixed or rotary winged aircraft",Post-emergence,When pests occur,0.18,2,0.36,2,0.365,10,14,"Maximum flupyradifurone per calendar year is 0.365 lb ai/A, regardless of formulation or method of application.",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Wind speed limit (mph): ≤15 mph.              Buffers for orchard crops/ citrus (ft): Aerial 85-115; Airblast/ Ground 50-60
Max Release Height (ft):10
ASABE Droplet Size: Coarse or Coarser",N/A,DO NOT apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.,"DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; The use of Induce® adjuvant in combination with PLENEXOS SMART on grape, pome fruits, and stone fruits is prohibited when fruit is present due to adverse plant compatibility on harvested commodities; [This product contains flupyradifurone, DO NOT apply PLENEXOS SMART with horticultural oils to pear in late-season or during periods of above average temperatures]; No aerial application in New York State"
264-REGG,WG,PLENEXOS SMART (SPD+FPF: flupyradifurone rates),Stone Fruit (CG 12-12),Agricultural (Outdoor),Foliage/Plant,Broadcast,"Airblast sprayer or similar ground equipment, fixed or rotary winged aircraft",Post-emergence,When pests occur,0.18,2,0.36,2,0.365,10,14,"Maximum flupyradifurone per calendar year is 0.365 lb ai/A, regardless of formulation or method of application.",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Wind speed limit (mph): ≤15 mph.              Buffers for orchard crops/ citrus (ft): Aerial 85-115; Airblast/ Ground 50-60
Max Release Height (ft):10
ASABE Droplet Size: Coarse or Coarser",N/A,DO NOT apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.,"DO NOT apply prior to petal-fall on stone fruit crops; DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; The use of Induce® adjuvant in combination with PLENEXOS SMART on grape, pome fruits, and stone fruits is prohibited when fruit is present due to adverse plant compatibility on harvested commodities; No aerial application in New York State"
264-REGG,WG,PLENEXOS SMART (SPD+FPF: flupyradifurone rates),Small Fruit Vine Climbing- Except Fuzzy Kiwifruit (CG 13-07F),Agricultural (Outdoor),Foliage/Plant,Broadcast,"Airblast Ssprayer or similar ground equipment, fixed or rotary winged aircraft",Post-emergence,When pests occur,0.18,2,0.36,2,0.365,10,7,"Maximum flupyradifurone per calendar year is 0.365 lb ai/A, regardless of formulation or method of application.",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Wind speed limit (mph): ≤15 mph.              Buffers for orchard crops/ citrus (ft): Aerial 85-115; Airblast/ Ground 50-60
Max Release Height (ft):10
ASABE Droplet Size: Coarse or Coarser",N/A,DO NOT apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.,"DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; The use of Induce® adjuvant in combination with PLENEXOS SMART on grape, pome fruits, and stone fruits is prohibited when fruit is present due to adverse plant compatibility on harvested commodities; No aerial application in New York State"
264-REGG,WG,PLENEXOS SMART (SPD+FPF: flupyradifurone rates),"Tree Nuts (CG 14-12, except almond)",Agricultural (Outdoor),Foliage/Plant,Broadcast,"Airblast sprayer or similar ground equipment, fixed or rotary winged aircraft",Post-emergence,When pests occur,0.18,2,0.36,2,0.365,10,14,"Maximum flupyradifurone per calendar year is 0.365 lb ai/A, regardless of formulation or method of application.",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Wind speed limit (mph): ≤15 mph.              Buffers for orchard crops/ citrus (ft): Aerial 85-115; Airblast/ Ground 50-60
Max Release Height (ft):10
ASABE Droplet Size: Coarse or Coarser",N/A,DO NOT apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.,DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State
264-1141,SL,SIVANTO 200 SL,"Alfalfa (grown for Forage, Fodder, Straw, and Hay)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",Do not use on Alfalfa Grown for Seed; DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State
264-1141,SL,SIVANTO 200 SL,Brassica Head and Stem Vegetables and Kohlrabi (CG 5-16),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods. Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State
264-1141,SL,SIVANTO 200 SL,Brassica Head and Stem Vegetables and Kohlrabi (CG 5-16),Agricultural (Outdoor),Soil,Chemigation/ Injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, injection for planting, potting hole drench or post-transplant drench",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,NS,1.095,NS,21,"Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection below the eventual seed line prior to planting. Place product 3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",NA,For soil injection: Place SIVANTO 200 SL 3-4 inches below seed line,,
264-1141,SL,SIVANTO 200 SL,Bushberry (subgroup 13-07B),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,3,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods. Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State
264-1141,SL,SIVANTO 200 SL,Caneberry (subgroup 13-07A),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,0,Minimum Application Volume: 30 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods. Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State
264-1141,SL,SIVANTO 200 SL,"Cereal Grains (CG 15), Forage, Fodder and Straw of Cereal Grains (CG 16) and Quinoa (including production for seed)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,"7-days hay, forage, sorghum grown for syrup, or sweet corn; 21-days dried grain, stover or straw",Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods. Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State
