Source File,Page,Confidence,Reg. #/File Sym,Physical Form,Product Name (PBN),Use,Use Site,App. Target,App. Type,App. Equipment,App. Timing (Site Status),App. Timing (other),App Rate (lb ai/A),A.I. Max Single Rate/App. (lb a.i./A),Max # Apps/C.C.,A.I. Max Total Rate/C.C. (lb a.i./A),Max # Apps/Yr.,A.I. Max Total Rate/Yr. (lb a.i./A),MRI (days),REI,PHI (days),PPE,Additional Information,Max No. of CC/yr,Geographic Restrictions,Drift Restrictions,Soil Restrictions,On-field Non-target Species Restrictions,Additional Restrictions for Use/Use Site
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,10-11,High,264-1106,SC,Indaziflam 200SC Herbicide,BLUEBERRY (HIGHBUSH) AND BUSHBERRY SUBGROUP 13-07B (EXCEPT BLUEBERRY LOWBUSH),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 (<1% OM); 0.065 (≥1% OM),0.045 (<1% OM); 0.065 (≥1% OM),NS,NS,2,0.09 (<1% OM); 0.13 (≥1% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum plant age: 1 year (3 years in California). Max rate per application: 3.5 fl oz/A (<1% OM) or 5.0 fl oz/A (≥1% OM). Max rate per year: 7.0 fl oz/A (<1% OM) or 10.0 fl oz/A (≥1% OM).,NS,Only use in established plantings at least one year after planting (three years in California). Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use in sand. DO NOT use on soils with 20% or greater gravel content.,NS,DO NOT allow spray to contact green stems foliage flowers or berries. Only apply to soil as dormant application in late fall through early spring before bud swell. Apply as directed application to soil beneath the bushes. DO NOT apply more than one application per cropping season per year in California.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,11,High,264-1106,SC,Indaziflam 200SC Herbicide,CANEBERRY AND OTHER CANEBERRY SUBGROUP 13-07A,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 (<1% OM); 0.065 (≥1% OM),0.045 (<1% OM); 0.065 (≥1% OM),NS,NS,2,0.09 (<1% OM); 0.13 (≥1% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum plant age: 1 year (3 years in California). Max rate per application: 3.5 fl oz/A (<1% OM) or 5.0 fl oz/A (≥1% OM). Max rate per year: 7.0 fl oz/A (<1% OM) or 10.0 fl oz/A (≥1% OM).,NS,Only use in established plantings at least one year after planting (three years in California). Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use in sand. DO NOT use on soils with 20% or greater gravel content. Only apply where soil has completely settled around bushes with no exposed roots open channels or depressions.,NS,DO NOT allow spray to contact green stems foliage flowers or berries. Only apply to soil as dormant application in late fall through early spring before bud swell. Apply as directed application to soil beneath the canes. DO NOT apply more than one application per cropping season per year in California.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,12,High,264-1106,SC,Indaziflam 200SC Herbicide,BLUEBERRY (LOWBUSH),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 to 0.065 (<1% OM); 0.065 to 0.085 (≥1% OM),0.045 to 0.065 (<1% OM); 0.065 to 0.085 (≥1% OM),1,0.045 to 0.065 (<1% OM); 0.065 to 0.085 (≥1% OM),1,0.045 to 0.065 (<1% OM); 0.065 to 0.085 (≥1% OM),NS,12 hours,90,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum plant age: 1 year. Max rate per application: 3.5 to 5.0 fl oz/A (<1% OM) or 5.0 to 6.5 fl oz/A (≥1% OM). Make one broadcast application when blueberries are dormant in late fall through early spring before bud swell.,1,Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use in sand. DO NOT use on soils with 20% or greater gravel content.,NS,Only apply following harvest and pruning in late fall or during sprout year in early spring when soil is frost-free and plants are pruned but prior to onset of bud swell. DO NOT apply within 90 days of harvest. DO NOT apply after onset of vegetative growth (emerging shoots or bud swell) in spring.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,13,High,264-1106,SC,Indaziflam 200SC Herbicide,CITRUS FRUITS (CROP GROUP 10-10),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.065 to 0.085,0.065 to 0.085,NS,NS,NS,0.134,90,12 hours,7,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Max rate per application: 5.0 to 6.5 fl oz/A. Max rate per year: 10.3 fl oz/A. Can be used in groves established minimum 1 year after transplanting or 1 month after planting if trees were potted plants (not bare-rooted) with trunks protected and trees actively growing.,NS,Only use in established groves minimum one year after transplanting; or one month after planting if potted plants with protected trunks. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. Only apply where soil has completely settled around trees with no open channels or depressions.,NS,Avoid spray contact with crop foliage green bark roots or fruit. Only trunks with callused mature brown bark may be sprayed. Contact with other tissues may cause serious damage or plant death.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,14,High,264-1106,SC,Indaziflam 200SC Herbicide,COFFEE,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 (<1% OM) 1st app; 0.045 (<1% OM) 2nd app; 0.065 (1-3% OM) 1st app; 0.089 (>3% OM) 1st app,0.045 (<1% OM); 0.065 (1-3% OM); 0.089 (>3% OM),NS,NS,NS,0.091 (<1% OM); 0.11 (1-3% OM); 0.134 (>3% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum plant age: 1 year. Max first application: 3.5 fl oz/A (<1% OM) 5.0 fl oz/A (1-3% OM) 6.8 fl oz/A (>3% OM). Max second application: 3.5 fl oz/A (<1% OM) 8.5 fl oz/A (1-3% OM) 10.3 fl oz/A (>3% OM). Max per year: 7.0 fl oz/A (<1% OM) 8.5 fl oz/A (1-3% OM) 10.3 fl oz/A (>3% OM).,NS,Only use in established plantings at least one year after planting. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use in sand. DO NOT use on soils with 20% or greater gravel content. Only apply where soil has completely settled around shrubs with no open channels or depressions.,NS,DO NOT allow spray to contact green stems foliage flowers or beans.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,15,High,264-1106,SC,Indaziflam 200SC Herbicide,FRUIT SMALL VINE CLIMBING EXCEPT FUZZY KIWIFRUIT SUBGROUP 13-07F (GRAPES),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 to 0.065 (<1% OM); 0.065 (≥1% OM),0.045 to 0.065 (<1% OM); 0.065 (≥1% OM),NS,NS,2,0.065 (<1% OM); 0.13 (≥1% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum vine age: 3 years. Max rate per application: 3.5 to 5.0 fl oz/A (<1% OM) or 5.0 fl oz/A (≥1% OM). Max rate per year: 5.0 fl oz/A (<1% OM) or 10.0 fl oz/A (≥1% OM). Only use where grapes have at least 6 inches of soil barrier between soil surface and major portion of root system.,NS,Only use in established vineyards at least three years after planting. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use in sand. DO NOT use on soils with 20% or greater gravel content. Only apply where soil has completely settled around vines with no open channels or depressions. Ensure grapes have 6 inches soil barrier between soil surface and root system.,NS,DO NOT allow spray to contact green stems foliage or fruit.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,16-17,High,264-1106,SC,Indaziflam 200SC Herbicide,HOPS,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 (<1% OM); 0.065 (≥1% OM),0.045 (<1% OM); 0.065 (≥1% OM),NS,NS,2,0.09 (<1% OM); 0.13 (≥1% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum plant age: 1 year. Max rate per application: 3.5 fl oz/A (<1% OM) or 5.0 fl oz/A (≥1% OM). Max rate per year: 7.0 fl oz/A (<1% OM) or 10.0 fl oz/A (≥1% OM). Application timings: early spring dormant and/or fall dormant after vine harvest. Early spring timing on hop shoots in bud stage up to 2 inches height.,NS,Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use in sand. DO NOT use on soils with 20% or greater gravel content.,NS,DO NOT allow spray to contact green stems foliage flowers or cones. Apply as minimum 2-foot band to each side of hop row.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,17-18,High,264-1106,SC,Indaziflam 200SC Herbicide,POME FRUIT CROP GROUP 11-10,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 to 0.085,0.045 to 0.085,NS,NS,NS,0.078 to 0.134 (<1% OM); 0.104 to 0.134 (1-3% OM); 0.134 (>3% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum tree age: 3 years. Max rate per application: 3.5 to 6.5 fl oz/A. Max rate per year: 6.0 to 10.3 fl oz/A (<1% OM) 8.0 to 10.3 fl oz/A (1-3% OM) 10.3 fl oz/A (>3% OM). In CA counties of Kern Inyo Tulare Kings Fresno Madera: apply only beginning after harvest up to initiation of pink bud stage.,NS,Use only in orchards established at least three years. Not for sale distribution or use in Nassau or Suffolk County NY. In Kern Inyo Tulare Kings Fresno Madera CA counties: apply only after harvest up to pink bud stage.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. Fill in cracks or depressions from transplanting prior to application.,NS,DO NOT apply when nuts intended for harvest are on ground. Avoid spray contact with foliage green bark roots or fruit.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,17-18,High,264-1106,SC,Indaziflam 200SC Herbicide,STONE FRUIT CROP GROUP 12-12,Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 to 0.085,0.045 to 0.085,NS,NS,NS,0.078 to 0.134 (<1% OM); 0.104 to 0.134 (1-3% OM); 0.134 (>3% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum tree age: 3 years. Max rate per application: 3.5 to 6.5 fl oz/A. Max rate per year: 6.0 to 10.3 fl oz/A (<1% OM) 8.0 to 10.3 fl oz/A (1-3% OM) 10.3 fl oz/A (>3% OM).,NS,Use only in orchards established at least three years. Not for sale distribution or use in Nassau or Suffolk County NY.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. Fill in cracks or depressions from transplanting prior to application.,NS,DO NOT apply when nuts intended for harvest are on ground. Avoid spray contact with foliage green bark roots or fruit.
264-1106_Indaziflam 200 SC Herbicide_5_19_2025_BASE.pdf,17-18,High,264-1106,SC,Indaziflam 200SC Herbicide,TREE NUTS CROP GROUP 14-12 (EXCEPT PECAN),Agricultural (Outdoor),Soil,Broadcast,Ground equipment,Pre-emergence,When weeds germinate,0.045 to 0.085,0.045 to 0.085,NS,NS,NS,0.078 to 0.134 (<1% OM); 0.104 to 0.134 (1-3% OM); 0.134 (>3% OM),90,12 hours,14,Long-sleeved shirt and long pants; shoes plus socks; waterproof gloves,Minimum tree age: 1 year (except pecan which requires 3 years). Max rate per application: 3.5 to 6.5 fl oz/A. Max rate per year: 6.0 to 10.3 fl oz/A (<1% OM) 8.0 to 10.3 fl oz/A (1-3% OM) 10.3 fl oz/A (>3% OM). In CA counties of Kern Inyo Tulare Kings Fresno Madera for almonds pistachios walnuts pecans: apply only after harvest up to beginning emergence of green leaf tissue.,NS,Use only in orchards established at least one year (three years for pecan). Not for sale distribution or use in Nassau or Suffolk County NY. In Kern Inyo Tulare Kings Fresno Madera CA counties for almonds pistachios walnuts pecans: apply only after harvest up to green leaf emergence.,DO NOT apply by aerial equipment or chemigation. Apply with nozzles that deliver medium or larger spray droplets (ASAE S-572.1). Keep spray boom at lowest possible height.,DO NOT use on soils with 20% or greater gravel content. Fill in cracks or depressions from transplanting prior to application.,NS,DO NOT apply when nuts intended for harvest are on ground. Avoid spray contact with foliage green bark roots or fruit.
